#ClusterId	Latitude	Longitude
0	27.48	-81.92
1	53.68	39.63
2	60.67	17.21
3	34.57	-84.71
4	21.94	-99.99
5	28.97	50.84
6	-14.24	-51.41
7	38.05	-103.71
8	52.79	-2.48
9	14.14	101.30
10	39.56	-76.07
11	-8.13	-37.73
12	31.75	-96.65
13	-6.29	106.91
14	43.93	8.04
15	15.04	76.34
16	6.35	2.39
17	36.09	120.34
18	-31.85	115.92
19	42.35	-90.01
20	12.16	-68.30
21	50.85	-119.08
22	38.16	-121.15
23	38.57	-7.91
24	-32.57	-55.76
25	-32.60	149.59
26	33.82	-116.41
27	-2.46	118.00
28	34.80	32.40
29	50.86	0.58
30	51.72	8.75
31	-7.78	112.23
32	35.17	138.19
33	25.67	80.37
34	43.36	-110.74
35	1.86	104.63
36	-36.75	175.50
37	3.68	101.07
38	-23.05	-46.36
39	-33.19	-71.70
40	-22.97	18.49
41	15.21	145.72
42	-0.16	-78.43
43	46.67	20.67
44	41.01	-81.61
45	16.03	120.45
46	20.57	-157.53
47	43.76	-71.69
48	56.11	-3.97
49	54.85	-8.35


Average Distance of a datapoint = 337.76 Kilometer
Total Distance of datapoints = 168881873.68 Kilometer
